"","id","name","AREA","BFI","GDF","QMED","RMED","SAAR","RGRAD","R2","years","no_groundwater_index"
"1",1001,"Wick at Tarroul",161.9,0.39,3.013,NA,31.2,2.81067012858556,0.700439315492015,0.556733245928462,23,0
"2",2001,"Helmsdale at Kilphedir",551.4,0.47,13.245,169.704,35,3.09695638331741,2.75751781373789,0.50533645086089,43,0
"3",2002,"Brora at Bruachrobie",434.4,0.3,11.983,164.339,36,3.44144933969593,3.03558400196166,0.590894918295844,25,0
"4",3001,"Shin at Lairg",494.6,0.55,15.2,NA,51,4.44055299539171,0.15324990229087,0.0183043437856108,5,0
"5",3002,"Carron at Sgodachail",241.1,0.3,9.073,177.884,47.95,5.30099558210441,1.8919401996754,0.600235487378041,44,0
"6",3003,"Oykel at Easter Turnaig",330.7,0.22,16.292,354.157,52.8,5.46152273192011,3.38279540150827,0.668495395485038,41,0
"7",3004,"Cassley at Rosehall",187.5,0.23,7.211,NA,62.6,6.4707840183631,1.55054554427536,0.667900185120116,39,0
"8",3005,"Shin at Inveran",575,0.59,4.971,NA,40.7,4.42159267734554,0.897880014583343,0.318953261036083,31,0
"9",3006,"Loch Ailsh at Loch Ailsh",44.34,0.29,2.982,NA,62.85,6.84046639231824,0.374783701171509,0.695399858973872,2,0
"10",4001,"Conon at Moy Bridge",961.8,0.57,50.232,NA,48.05,4.99395946999221,3.76766845924198,0.461220496034007,66,0
"11",4003,"Alness at Alness",201,0.43,6.236,80.293,45.55,3.99697591935785,1.06931531721603,0.445411281486991,44,0
"12",4004,"Blackwater at Contin",336.7,0.4,6.025,NA,44.8,4.67480696713952,1.48214260606595,0.655026020885986,31,0
"13",4005,"Meig at Glenmeanie",120.5,0.25,6.898,111.347,62.85,6.27077949858818,1.03706295164455,0.633091622853913,32,0
"14",4006,"Bran at Dosmucheran",116.1,0.28,6.958,84.553,62.1,6.35633748055988,0.932297106470728,0.71734077279209,29,0
"15",4007,"Blackwater at Garve",289,0.36,4.797,NA,48,4.95556202679091,1.17114785891151,0.526805149794053,29,0
"16",4008,"Newhall Burn at Newhall Bridge",41,0.45,0.475,NA,32.25,2.38406670942912,0.142280409644107,0.285055033736892,22,0
"17",4009,"Peffery at Strathpeffer STW",17.3,0.4,0.264,NA,30.2,2.93076637365358,0.0770473304763405,0.432303711484283,22,0
