"id","Rocks with essentially no groundwater","Moderately productive aquifer","Low productivity aquifer","Highly productive aquifer","Low productive aquifer","Modeately productivity aquifer","Unknown","Significant intergranular flow","Flow is virtually all through fractures and other discontinuities"
"10001",0,33360908.5576172,423758466.442535,0,0,0,0,2217044.40142822,454902330.598724
"10002",0,10595932.280426,315125942.72049,0,0,0,0,761878.119506836,324959996.881409
"10003",0,33360908.5576172,498925966.442108,0,0,0,0,2217044.40142822,530069830.598297
"1001",0,158183125.000305,0,0,0,0,0,0,158183125.000305
"101001",6602382.48034286,9580884.53081131,14544.2077140808,42235626.2811661,0,0,6602382.48034286,44994236.5756645,6836818.44402695
"101002",5001775.2954216,3985156.14219666,129813.963356018,21494817.098999,0,0,5001775.2954216,23561828.259346,2047958.94520569
"101003",374561.880775452,2109403.02036667,281124.469036102,12096785.6298561,0,0,374561.880775452,2390527.48940277,12096785.6298561
"101004",6672802.14382935,9636531.33289337,14544.2077140808,43259559.8155861,0,0,6672802.14382935,46073585.5654831,6837049.79071045
"101005",3654984.41242218,5467667.09125137,0,15187973.4963684,0,0,3654984.41242218,18265493.268631,2390147.3189888
"101006",1869619.38069153,2850846.85538101,0,12214221.2639465,0,0,1869619.38069153,11903539.6830444,3161528.43628311
"101007",427176.11555481,326599.555091858,0,8573099.32938766,0,0,427176.11555481,8685159.65434265,214539.230136871
"102001",0,0,21010000.0000381,0,0,0,0,0,21010000.0000381
"105001",0,0,80490663.9866714,0,0,0,0,0,80490663.9866714
"106001",0,0,44934687.4999313,0,0,0,0,0,44934687.4999313
"106002",0,0,10643749.9998627,0,0,0,0,0,10643749.9998627
"106003",0,0,13807812.4999275,0,0,0,0,0,13807812.4999275
"107001",0,19603437.500061,0,0,0,0,0,0,19603437.500061
"108001",0,0,12705937.4998474,0,0,0,0,0,12705937.4998474
"11001",0,17917283.2934875,1251239279.20691,0,0,0,0,0,1269156562.5004
"11002",0,17917283.2934875,774760529.20639,0,0,0,0,0,792677812.499878
"11003",0,17917283.2934875,492020841.706848,0,0,0,0,0,509938125.000336
"11004",0,0,195444062.499512,0,0,0,0,0,195444062.499512
"11005",0,0,188288437.50029,0,0,0,0,0,188288437.50029
"11006",0,0,103325937.500259,0,0,0,0,0,103325937.500259
"12001",0,0,1380051249.99904,0,0,0,0,0,1380051249.99904
"12002",0,0,1833212187.50044,0,0,0,0,0,1833212187.50044
"12003",0,0,697500312.500107,0,0,0,0,0,697500312.500107
"12004",0,0,29557499.999939,0,0,0,0,0,29557499.999939
"12005",0,0,109380937.499985,0,0,0,0,0,109380937.499985
"12006",0,0,145910000.000046,0,0,0,0,0,145910000.000046
"12007",0,0,291987499.999908,0,0,0,0,0,291987499.999908
"12008",0,0,232847812.500427,0,0,0,0,0,232847812.500427
"12009",0,0,42041250.0004883,0,0,0,0,0,42041250.0004883
"13001",0,79601251.8329773,44867810.6670227,0,0,0,0,0,124469062.5
"13002",0,105421599.824585,32162150.1755066,0,0,0,0,0,137583750.000092
"13003",0,163031866.266418,320387508.734024,0,0,0,0,0,483419375.000443
"13004",0,2362888.25071716,105157424.249069,0,0,0,0,0,107520312.499786
"13005",0,90202743.9603882,38717881.0398865,0,0,0,0,0,128920625.000275
"13007",0,287149488.515457,459894886.48497,0,0,0,0,0,747044375.000427
"13008",0,169300616.266418,320387508.734024,0,0,0,0,0,489688125.000443
"13009",0,19423183.8062286,108907441.19368,0,0,0,0,0,128330624.999908
"13010",0,42821894.6154785,1379980.38430786,0,0,0,0,0,44201874.9997864
"13012",0,0,130635625.000122,0,0,0,0,0,130635625.000122
"13017",0,8151358.9853363,263016.014816284,0,0,0,0,0,8414375.00015259
