id,width_B,gradient_perpendicular
4010,702.0618107,0.253539513
4004,788.5304693,0.193774232
4007,773.7732341,0.199076847
2002,764.4237731,0.101658072
5003,732.9442876,0.259903292
8013,760.0515543,0.177708043
6006,757.2488234,0.189466769
7002,710.1102824,0.115693806
7005,791.9107599,0.085040505
13012,665.6889133,0.253217039
13009,576.5358245,0.17985957
9004,603.688915,0.114945825
13002,566.867002,0.076752729
11006,691.0268308,0.147722604
15003,725.5922562,0.186913392
17004,565.8911512,0.063805098
17005,427.5005606,0.05692536
15025,691.0747862,0.165974279
15027,578.9474369,0.04370887
15038,720.7664466,0.143933326
21005,542.6655272,0.220479219
21001,526.0430464,0.281207729
21024,665.7003459,0.104952167
54027,735.4883529,0.103725065
54028,484.8914301,0.169131236
67001,470.8523726,0.181061795
57005,545.082545,0.172926026
39003,928.295149,0.04280263
39004,862.7843502,0.051184286
40015,1648.293512,0.035994411
43028,924.7685499,0.044025137
37034,557.8446843,0.028067037
39146,671.0882462,0.008601404
39042,879.0760134,0.04281124
39111,764.1252822,0.038868253
38001,647.3034359,0.034719876
47022,513.9409771,0.103933336
38011,879.3664322,0.030995178
43022,779.8996715,0.032108781
43019,723.2696918,0.043969718
39057,505.9579613,0.025425673
28014,704.6830465,0.031201598
28022,656.1110407,0.050794687
28023,634.3490645,0.141770486
28033,527.8847816,0.114681018
39056,1268.326229,0.039199864
40029,1292.517608,0.053406934
28113,532.0081841,0.055949829
30005,602.8787924,0.041303496
32010,664.6755651,0.036316003
45008,570.7441493,0.099881765
32008,700.6017546,0.03816087
33068,712.825877,0.024374817
38032,630.5817655,0.035690945
39035,812.0965682,0.074696002
39077,1638.072324,0.030752173
39088,918.8746603,0.049207153
39038,727.3148111,0.025769721
39052,603.4849071,0.033065433
54036,751.9538104,0.067608782
40011,787.1093747,0.041372568
40012,1174.232383,0.051727268
38022,590.8352941,0.043171171
58009,582.4506485,0.087677476
59002,466.2199776,0.108330991
53022,726.0527959,0.051490333
38033,649.0449918,0.035209823
60004,408.2848689,0.163607
54057,587.0622481,0.072236573
84020,442.8061683,0.123278732
75002,558.5825888,0.227713518
49005,800.1868272,0.107575416
96006,647.7513592,0.097513353
50013,574.2324942,0.163385227
76004,549.3206664,0.196685333
76011,688.3133056,0.034103574
48003,637.0017142,0.087432317
81003,540.5887193,0.080538793
81004,510.2055814,0.042910944
91802,614.565636,0.406567657
101002,543.0995065,0.051313485
84009,558.960354,0.099090384
63003,472.2795685,0.093953704
202001,#ARG!,NA
83002,407.8296427,0.115885266
69004,466.1970464,0.177376506
52026,899.2192172,0.038420355
80002,574.1123418,0.128358743
55004,499.5051037,0.158376329
73016,516.5998756,0.363604593
89009,676.6962051,0.362096567
54098,586.6213041,0.140201854
31026,726.9319753,0.051972948
203011,#ARG!,NA
203021,#ARG!,NA
203022,#ARG!,NA
205003,#ARG!,NA
82001,473.8889004,0.104446496
203049,#ARG!,NA
79007,462.9103053,0.07042131
18011,522.8057994,0.200230509
205011,#ARG!,NA
83009,413.6763374,0.091435775
203043,#ARG!,NA
81006,618.0843734,0.150527783
80003,529.2292338,0.180616762
42029,1184.905786,0.035685688
21021,564.9867953,0.154242285
19017,514.490846,0.065848742
19021,742.2183774,0.072234821
26007,338.7098833,0.010816222
21032,507.0156941,0.17897874
27008,614.8690026,0.077331341
25009,584.4161583,0.078567026
24006,567.0236095,0.131213306
26004,1484.95509,0.039749307
27072,681.4289133,0.116760031
27068,596.2913225,0.139727104
27056,645.7827836,0.089342341
27018,514.811326,0.142161447
27031,664.9333144,0.110051107
27038,280.8654445,0.014779849
27003,682.7565628,0.093117633
28079,728.8113356,0.048931097
28080,650.2758007,0.033597568
28046,846.1957026,0.095763262
28059,679.3972953,0.047041054
28001,536.1015146,0.179611765
28004,650.3687424,0.033598638
28008,697.1927358,0.099540124
28010,699.5250809,0.112322098
39134,1165.363628,0.024153094
42006,1320.159232,0.034589195
41034,712.4526024,0.050044884
54115,619.4845125,0.029353682
41021,563.6863369,0.023095001
39009,770.8710964,0.038567884
39010,778.7596703,0.043179165
39011,866.8438687,0.046904155
39097,699.8502994,0.048905637
34001,685.1190849,0.023168962
71014,506.3826838,0.074933557
74005,540.42798,0.202945125
40021,566.7618541,0.061419893
33045,549.0674822,0.01435044
45001,506.9436919,0.143766021
39016,864.3304551,0.040043065
37010,669.89091,0.027657204
39032,910.6871826,0.051348209
37026,492.7340359,0.033529684
33013,770.1314319,0.02196505
37016,654.0727143,0.026437478
39114,1017.769595,0.036969753
54023,658.8795535,0.042467579
67023,585.6256287,0.036444008
41026,454.8671841,0.066198467
84025,400.353649,0.066834092
53024,712.292672,0.089933328
101005,737.8374768,0.115738756
54061,442.1963595,0.025556565
53006,627.7474286,0.039965961
54089,661.2385962,0.036117309
57015,572.7925264,0.170815492
64004,435.2431522,0.195039219
56019,707.6447402,0.16074907
72005,443.0502441,0.206168305
201007,#ARG!,NA
69015,519.2034602,0.155061414
54022,471.4055589,0.239688786
55005,528.2681959,0.17845837
73010,445.9536236,0.268346368
76022,635.5994094,0.112597862
55010,515.5381744,0.190253824
56011,581.6111269,0.217747433
6001,641.2488127,0.198318519
3003,676.7140007,0.161561039
3005,696.1436344,0.113499216
1001,687.606178,0.026421569
2001,725.3563494,0.098247673
6007,644.0443017,0.195682037
8001,738.878227,0.161215153
7007,632.1318279,0.084053201
7008,689.0671691,0.127385053
11001,666.8271377,0.114671506
11004,709.4225733,0.106381362
12002,722.0234274,0.176513902
12003,770.5513854,0.215885666
15041,734.0079337,0.241048833
16004,601.8934063,0.16256445
18021,744.3220302,0.094998463
15010,632.4191062,0.160802838
15012,757.9869212,0.168613922
19012,567.3393709,0.06656851
18014,473.6758869,0.104176396
18022,490.7161618,0.245533901
19001,559.054482,0.054323341
23001,565.1757953,0.097645223
23003,542.2378851,0.097163173
20002,591.6759825,0.052226908
20004,781.4730616,0.053556569
54029,588.0145188,0.102375121
54026,774.1082848,0.048037788
76015,523.5770341,0.302894604
37027,405.8509349,0.034219997
41002,406.9908396,0.064855022
47006,555.4472297,0.109148645
41012,466.1500268,0.052391807
38007,782.9446734,0.021363637
33022,665.8933541,0.02855605
33024,758.8815824,0.034145373
39100,639.2390516,0.025373852
40013,1014.3064,0.05819345
39028,917.0363105,0.035318781
39110,800.8538932,0.07977845
39112,#ARG!,NA
35008,641.9386263,0.023294619
39119,660.6594314,0.04442313
47020,599.8644816,0.082430934
43023,1072.109776,0.049718888
39138,606.973594,0.027120853
43017,1202.022249,0.042021272
58003,581.9659706,0.087416628
